customer_sk,recency,frequency,monetary,labels
1241.0,1194,8,15027.07,1
64132.0,428,90,215402.8,2
13107.0,36,32,93972.12,0
92424.0,60,41,58860.94,0
36945.0,456,36,89746.16,0
94328.0,25,71,122315.91,2
66784.0,744,63,128193.86,1
7514.0,40,45,71057.59,0
71580.0,671,34,70515.01,1
71136.0,1,97,221955.92,2
73221.0,17,37,70629.57,0
67609.0,351,103,190280.28,2
4361.0,58,75,159021.89,2
56856.0,697,67,141946.82,2
92033.0,376,56,96443.13,0
72768.0,363,50,115620.65,0
62976.0,0,52,82420.2,0
26023.0,145,83,185693.03,2
90622.0,47,70,147627.16,2
86168.0,511,55,90213.86,0
70356.0,73,71,136073.09,2
8925.0,364,36,105268.93,0
72396.0,275,44,77660.48,0
58361.0,42,71,165739.38,2
33435.0,31,85,167601.87,2
41178.0,7,79,161915.04,2
20845.0,790,37,91519.76,1
54408.0,17,103,209904.09,2
68153.0,614,23,43006.23,1
3400.0,1247,25,36329.41,1
69930.0,1,33,52908.96,0
11341.0,66,45,77622.61,0
66548.0,1045,30,40473.12,1
78788.0,474,58,103222.2,0
96504.0,1,45,74480.07,0
73126.0,71,35,61788.44,0
17018.0,1126,30,41921.29,1
6103.0,121,53,114237.56,0
88938.0,160,25,29418.87,0
88173.0,22,72,153345.48,2
83421.0,94,74,176193.6,2
55632.0,428,84,177935.43,2
71825.0,34,103,173513.84,2
5891.0,218,36,61120.43,0
86898.0,499,69,149139.42,2
9717.0,648,45,101246.03,1
67006.0,42,47,113432.55,0
87084.0,482,33,79654.92,0
17315.0,1112,23,44449.26,1
153.0,255,26,38641.98,0
61191.0,17,27,70840.47,0
95058.0,1145,35,85994.13,1
72428.0,143,26,69102.64,0
85597.0,681,35,78113.41,1
5321.0,97,34,57946.4,0
75261.0,35,74,152228.44,2
71138.0,365,76,151019.38,2
76612.0,40,66,176233.44,2
67073.0,14,73,177176.75,2
1904.0,3,57,168602.49,2
65970.0,11,65,164161.9,2
59440.0,313,51,103802.05,0
70252.0,865,18,26855.94,1
25757.0,90,56,113144.8,0
72106.0,343,56,133885.7,2
88344.0,661,27,84739.42,1
66308.0,11,29,74779.26,0
60664.0,57,65,121254.1,2
65986.0,655,36,98610.29,1
70950.0,389,35,57962.0,0
59449.0,79,112,241716.33,2
17597.0,23,39,110763.0,0
65084.0,425,49,90104.14,0
76304.0,384,66,155946.78,2
89677.0,47,34,74302.22,0
82469.0,985,39,68605.31,1
9945.0,997,25,35834.62,1
80402.0,70,74,129932.08,2
68688.0,380,43,68343.6,0
816.0,538,44,90932.05,0
94335.0,433,34,64926.3,0
12871.0,224,62,152506.51,2
2805.0,380,39,84728.64,0
51960.0,301,42,71627.55,0
87637.0,104,23,45672.46,0
23717.0,27,38,85246.51,0
54272.0,1120,29,66701.81,1
65152.0,102,19,54574.87,0
88818.0,280,38,94561.4,0
3043.0,779,51,133794.79,1
5730.0,396,43,92768.19,0
65016.0,154,70,123098.93,2
72804.0,784,35,56086.05,1
92152.0,334,49,107649.0,0
40925.0,660,63,158391.74,2
56559.0,455,39,88390.66,0
89543.0,803,20,41811.0,1
31879.0,33,76,152299.03,2
52026.0,8,54,139280.53,2
24731.0,214,60,140987.0,2
61344.0,790,29,65003.17,1
88616.0,14,45,119107.87,0
32712.0,210,52,118840.65,0
78924.0,143,48,98712.51,0
94872.0,22,56,156273.24,2
50668.0,497,49,144325.07,2
3825.0,98,53,107727.66,0
74808.0,5,34,70745.2,0
14469.0,406,25,53839.5,0
89976.0,383,20,26872.9,0
51892.0,149,39,99334.03,0
8738.0,91,36,94964.36,0
99607.0,876,23,61148.03,1
55360.0,108,52,133547.26,2
32039.0,258,65,171377.41,2
45005.0,43,56,105899.79,0
58080.0,62,59,129873.29,2
12419.0,86,72,178543.68,2
3579.0,7,27,65457.7,0
21797.0,942,16,34417.83,1
36845.0,703,67,112553.2,1
27153.0,64,66,172127.62,2
56720.0,410,59,127128.61,2
65033.0,167,38,97515.72,0
33018.0,133,36,82907.07,0
72632.0,404,48,77208.09,0
20751.0,355,65,187588.27,2
82732.0,78,38,100734.32,0
17852.0,755,9,37474.47,1
93.0,985,24,52776.02,1
61956.0,95,28,33527.54,0
78226.0,73,31,83680.35,0
97950.0,878,20,35687.77,1
63529.0,82,53,150296.38,2
98308.0,38,37,93878.46,0
63767.0,459,38,90616.57,0
94609.0,25,42,68259.5,0
82360.0,476,24,38276.64,0
22935.0,81,32,62602.7,0
59032.0,44,60,138250.69,2
58642.0,581,29,86417.26,1
13381.0,182,31,83134.4,0
25647.0,266,16,60424.28,0
86549.0,29,47,112223.35,0
86361.0,224,37,86424.7,0
34939.0,74,34,68679.53,0
64830.0,101,24,69157.48,0
69657.0,70,79,125849.54,2
10143.0,125,80,160816.86,2
19033.0,267,27,42952.37,0
36173.0,1096,28,60699.49,1
66147.0,65,43,88617.79,0
51015.0,91,83,202338.0,2
23294.0,105,47,148559.59,2
82885.0,328,111,242208.54,2
10133.0,19,85,172575.25,2
22748.0,500,89,209332.58,2
23940.0,221,49,117290.14,0
53930.0,405,92,166848.12,2
19391.0,116,34,48948.49,0
4013.0,58,68,154484.86,2
39181.0,6,66,115983.33,2
65782.0,357,75,165005.86,2
8722.0,568,30,61416.06,1
1394.0,423,36,67133.78,0
90401.0,328,90,253426.09,2
84366.0,622,28,80010.42,1
87381.0,139,23,54931.95,0
38875.0,368,83,199720.64,2
3570.0,21,33,64258.34,0
30468.0,748,72,173139.11,2
45777.0,210,30,42648.52,0
1038.0,55,78,145932.98,2
51246.0,163,36,75145.38,0
306.0,31,14,26524.89,0
6800.0,317,39,63364.29,0
67797.0,254,29,50572.77,0
41502.0,437,72,129242.43,2
42955.0,981,39,82157.84,1
93291.0,743,22,47326.19,1
25742.0,59,61,102788.1,0
15311.0,141,69,127838.95,2
66036.0,73,54,153750.18,2
3171.0,348,40,50740.07,0
6435.0,40,57,106042.35,0
1597.0,286,36,48438.54,0
11747.0,19,36,88002.44,0
13221.0,51,49,116984.9,0
30722.0,378,41,92157.04,0
57271.0,48,56,113970.99,0
31767.0,368,47,87906.81,0
2602.0,7,103,234851.67,2
3808.0,90,68,125524.25,2
76985.0,840,32,71795.62,1
87851.0,5,83,239152.0,2
3910.0,36,18,33628.62,0
67194.0,12,81,167206.01,2
57366.0,375,33,66021.69,0
32033.0,18,61,101238.98,0
41690.0,41,26,42432.82,0
62449.0,619,49,99940.23,1
2083.0,75,40,110666.48,0
11460.0,777,77,147032.66,2
16815.0,188,70,162505.41,2
20479.0,34,83,166679.68,2
69878.0,113,61,161701.03,2
13636.0,21,68,141979.61,2
74589.0,620,35,83960.5,1
86965.0,271,53,118172.82,0
7073.0,374,23,51188.37,0
5662.0,54,49,88162.1,0
76891.0,487,50,85559.83,0
14935.0,60,61,141002.45,2
8815.0,134,68,173586.26,2
1530.0,107,62,142002.9,2
68569.0,221,40,90258.34,0
79221.0,801,33,47978.8,1
12206.0,496,34,91157.34,0
58777.0,762,67,127224.76,1
43594.0,367,32,54537.41,0
11231.0,122,97,226666.21,2
10107.0,28,71,139505.71,2
82825.0,198,43,94382.48,0
56737.0,98,44,85743.3,0
49835.0,348,30,46401.52,0
1811.0,15,96,206640.21,2
5483.0,385,72,125772.33,2
81797.0,417,30,58751.01,0
25003.0,75,8,10138.69,0
51294.0,22,84,171593.39,2
7523.0,1163,37,74722.84,1
47434.0,25,63,152461.34,2
15973.0,484,87,188977.98,2
3919.0,166,84,230496.19,2
62483.0,145,66,98545.66,2
96657.0,186,74,197711.99,2
98043.0,272,29,70983.03,0
24059.0,24,41,58589.25,0
13797.0,423,22,42884.62,0
68731.0,140,48,122588.47,0
7158.0,148,36,80063.2,0
29677.0,999,27,45689.23,1
43127.0,817,69,136797.93,1
18855.0,446,47,92949.21,0
19434.0,769,25,42042.19,1
24133.0,703,28,46206.26,1
35194.0,2,44,86259.43,0
72549.0,143,38,73842.16,0
33528.0,367,71,131762.13,2
918.0,375,34,95171.79,0
28938.0,105,56,109303.01,0
65424.0,517,43,112921.98,0
5247.0,128,55,106177.75,0
13643.0,583,43,86492.91,1
3434.0,247,13,19523.92,0
40193.0,212,45,116120.93,0
7999.0,824,35,71077.22,1
90010.0,25,53,119455.4,0
90589.0,403,49,106831.08,0
81850.0,417,65,149312.04,2
86183.0,118,34,69630.18,0
25554.0,389,48,130930.34,0
78831.0,29,63,133794.66,2
32798.0,193,107,248575.78,2
21610.0,57,70,143446.78,2
32925.0,347,54,118807.62,0
74851.0,382,40,76572.97,0
32805.0,297,58,135309.2,2
93018.0,494,33,75653.23,0
17351.0,742,31,53199.4,1
17580.0,952,29,83677.03,1
39419.0,1,27,85762.17,0
66429.0,237,35,69872.89,0
9690.0,272,46,137506.49,0
56871.0,167,12,7956.28,0
49476.0,775,42,97950.67,1
3647.0,1,42,87547.43,0
95825.0,334,46,91847.91,0
1632.0,130,82,192582.22,2
66818.0,49,57,119159.67,2
11059.0,42,15,22808.49,0
74825.0,182,45,79113.81,0
2355.0,181,26,36801.79,0
82818.0,301,56,113601.03,0
7939.0,64,71,162884.12,2
84865.0,64,43,92057.75,0
2482.0,36,62,115379.37,2
24975.0,238,37,136295.54,0
73391.0,510,33,86580.02,0
73314.0,133,32,86143.14,0
32644.0,33,50,134973.69,2
35067.0,589,35,83689.35,1
80845.0,119,37,90552.06,0
44731.0,132,23,51308.97,0
9554.0,792,48,129393.49,1
78805.0,683,33,67568.53,1
24831.0,253,31,64496.49,0
94063.0,32,64,84620.49,0
81730.0,409,39,132023.24,0
35704.0,70,22,54178.89,0
72683.0,512,33,68366.91,0
11782.0,409,24,43538.26,0
10415.0,67,39,68608.51,0
27730.0,332,22,53385.51,0
40965.0,516,36,56868.53,1
73637.0,1104,13,24988.64,1
15727.0,456,66,174082.08,2
76355.0,41,39,98137.51,0
66870.0,282,30,64966.09,0
77717.0,337,19,33160.33,0
186.0,675,55,116977.19,1
73757.0,2,60,142390.19,2
26762.0,8,38,105640.42,0
48711.0,783,43,100328.53,1
55836.0,787,13,24004.58,1
46935.0,150,20,50260.45,0
19756.0,524,46,129851.38,0
94751.0,822,15,66215.61,1
1267.0,1074,20,31400.26,1
51287.0,52,9,22889.51,0
37677.0,1152,4,8074.54,1
748.0,1007,16,66650.14,1
33163.0,503,23,56150.37,1
9785.0,998,11,18610.52,1
29820.0,230,64,139458.26,2
21983.0,79,68,166808.49,2
62534.0,902,43,124637.38,1
34667.0,114,34,71814.46,0
86429.0,761,43,64625.04,1
81610.0,38,60,89334.13,0
54043.0,21,73,138949.54,2
97371.0,141,36,72478.62,0
7752.0,2,64,145522.61,2
63241.0,287,79,180561.82,2
84772.0,400,74,191808.62,2
99233.0,68,78,182947.58,2
72496.0,505,50,98982.98,0
731.0,77,67,211775.21,2
21288.0,55,45,75323.29,0
82153.0,32,79,153607.46,2
69003.0,133,65,147786.13,2
30587.0,2,53,119408.39,0
41569.0,656,44,112897.86,1
76093.0,16,88,218094.34,2
10455.0,400,46,108172.93,0
68824.0,442,79,204476.63,2
89271.0,229,39,81094.12,0
61727.0,449,80,123396.41,2
15905.0,806,60,163282.34,1
71281.0,33,38,113597.84,0
9435.0,2,70,169123.02,2
52419.0,65,12,30546.01,0
32133.0,492,44,85516.55,0
16950.0,147,66,128871.61,2
98782.0,52,82,165545.29,2
13314.0,372,105,203870.76,2
76798.0,284,34,71050.78,0
65059.0,644,92,172555.09,2
41757.0,197,51,110849.36,0
4624.0,364,106,266516.73,2
82589.0,37,77,166479.97,2
86542.0,519,50,115885.52,0
80835.0,115,85,160917.0,2
4965.0,508,52,111801.59,0
18965.0,1173,52,106647.82,1
61820.0,43,53,112454.26,0
69351.0,14,73,182984.7,2
74529.0,136,34,86050.03,0
8211.0,29,51,91118.43,0
18429.0,190,65,127414.07,2
2362.0,57,43,115287.5,0
80828.0,2,52,132593.38,2
76033.0,84,64,107200.83,2
96683.0,476,44,108811.26,0
53191.0,140,70,150256.78,2
94855.0,48,77,154835.99,2
23700.0,383,78,222063.88,2
23879.0,2,62,166946.52,2
77163.0,861,20,42628.86,1
72938.0,17,34,67693.89,0
65331.0,21,85,169414.88,2
57315.0,362,62,147774.59,2
87594.0,760,78,158383.28,2
20523.0,470,71,132544.46,2
89211.0,263,93,175594.09,2
51731.0,179,80,144399.02,2
74751.0,413,24,35686.05,0
98442.0,71,40,52035.62,0
48013.0,17,31,57928.67,0
4335.0,45,82,163992.62,2
71315.0,37,32,98282.44,0
64787.0,17,28,48625.71,0
59899.0,105,54,80200.54,0
1003.0,424,38,71391.72,0
88802.0,251,95,191653.25,2
96776.0,172,48,119923.89,0
65662.0,5,62,142983.06,2
79637.0,65,67,149091.32,2
11033.0,757,26,41983.87,1
87730.0,9,88,195344.89,2
55700.0,50,91,172023.9,2
8976.0,913,28,60584.51,1
4711.0,313,47,88212.3,0
10268.0,41,45,108122.24,0
71154.0,51,52,119041.27,0
26335.0,872,33,62443.68,1
60435.0,149,39,93445.49,0
48439.0,396,51,138915.37,2
83727.0,17,59,165373.52,2
925.0,12,36,50800.22,0
80173.0,384,48,122428.58,0
60163.0,52,32,86052.6,0
10795.0,146,56,130252.11,2
23973.0,207,55,139393.3,2
72965.0,5,39,74899.55,0
10201.0,465,40,87679.37,0
9503.0,41,67,120512.02,2
63019.0,242,69,165525.93,2
57178.0,1041,40,92269.59,1
66965.0,101,59,141306.43,2
19534.0,814,32,51088.61,1
65757.0,212,55,111055.3,0
67099.0,144,33,92679.09,0
37005.0,62,39,69744.69,0
24026.0,783,85,158153.93,2
56657.0,103,46,110130.47,0
77915.0,406,53,124643.22,0
45058.0,676,67,154471.04,2
75420.0,98,91,133198.88,2
29004.0,18,55,127654.77,2
85524.0,492,39,61399.58,0
36915.0,23,88,195920.04,2
74281.0,435,65,153248.3,2
25930.0,698,25,54352.17,1
81727.0,235,77,157968.42,2
31261.0,23,58,142036.55,2
23274.0,386,35,72319.3,0
12053.0,113,58,126285.34,2
3672.0,56,49,88138.31,0
68053.0,428,56,175101.48,2
57264.0,583,43,118670.14,1
75905.0,284,30,87075.91,0
12291.0,1101,39,83047.5,1
92489.0,36,64,168715.31,2
15583.0,48,66,140148.06,2
19194.0,367,67,171775.33,2
53167.0,18,64,187523.42,2
15640.0,711,41,78374.29,1
67514.0,1,70,154955.33,2
18462.0,234,82,162790.61,2
49304.0,107,71,195644.41,2
15717.0,389,38,73348.94,0
16048.0,125,40,64275.1,0
12657.0,126,33,72334.16,0
15657.0,392,25,32145.81,0
31180.0,188,59,104799.13,0
69113.0,129,99,225809.26,2
19865.0,555,33,92898.13,1
59454.0,149,57,114607.29,0
33610.0,100,30,38372.38,0
45840.0,12,91,225200.26,2
68811.0,550,95,195266.16,2
56093.0,33,54,132501.54,2
19058.0,780,36,74771.88,1
24226.0,535,51,90234.28,0
23838.0,312,68,166992.87,2
16184.0,739,23,44610.38,1
56499.0,415,56,105267.24,0
58549.0,85,89,151239.95,2
55207.0,1305,14,26295.61,1
47073.0,11,60,152679.81,2
32132.0,28,73,175939.4,2
31910.0,35,55,95964.42,0
79024.0,28,75,181883.33,2
77256.0,756,21,45223.5,1
17697.0,397,81,190791.85,2
74672.0,611,35,55781.11,1
41556.0,149,41,94759.83,0
87321.0,472,75,177493.7,2
21234.0,36,63,146822.56,2
96791.0,80,96,222293.72,2
18840.0,31,53,142650.63,2
10880.0,2,38,63385.9,0
39140.0,41,68,175462.06,2
32640.0,42,116,232046.51,2
42103.0,59,54,133392.21,2
22662.0,16,65,133053.66,2
56113.0,149,48,98718.91,0
40026.0,779,56,130791.35,1
97113.0,386,83,164110.24,2
27100.0,10,76,181152.04,2
48692.0,122,90,188086.36,2
66509.0,64,73,168094.22,2
14697.0,114,54,84571.63,0
77529.0,72,55,106739.09,0
85757.0,1119,26,45668.67,1
6120.0,49,52,127399.99,2
60093.0,10,75,154044.72,2
72479.0,443,60,109389.67,0
71717.0,861,24,48685.9,1
83019.0,37,27,44602.22,0
97271.0,74,53,97937.95,0
95261.0,20,98,193608.51,2
13056.0,74,41,88311.05,0
18360.0,200,14,26194.01,0
7108.0,409,37,92150.83,0
79959.0,1106,47,91096.9,1
52232.0,341,34,67047.66,0
7892.0,12,61,136101.96,2
61630.0,33,86,215886.4,2
5848.0,34,37,74732.78,0
8704.0,133,64,116123.79,2
10422.0,438,50,128883.15,0
38224.0,438,89,169877.33,2
40264.0,121,56,131321.49,2
85489.0,41,77,199021.48,2
67281.0,6,116,237728.91,2
86440.0,278,32,43626.63,0
5984.0,1149,33,86845.49,1
21098.0,1149,21,57696.38,1
6328.0,11,61,166631.15,2
43647.0,291,72,148480.43,2
51281.0,906,81,172557.65,2
60865.0,284,62,147119.74,2
6469.0,775,68,157943.22,2
53271.0,45,68,142999.79,2
11152.0,10,110,216274.47,2
61623.0,65,57,105584.15,0
26828.0,421,35,88199.4,0
1224.0,384,99,229975.27,2
23192.0,62,68,152078.56,2
47999.0,299,34,78772.0,0
96415.0,921,32,72643.9,1
63892.0,25,79,131090.81,2
98509.0,49,65,140998.26,2
56212.0,42,57,91284.93,0
885.0,781,31,54926.43,1
73321.0,10,68,173276.49,2
47727.0,633,55,146382.75,2
7244.0,48,71,154293.24,2
78905.0,535,37,69201.01,1
31187.0,83,63,142876.27,2
46435.0,54,74,149615.54,2
69576.0,74,60,109997.84,2
79687.0,136,17,44999.02,0
47128.0,473,42,110454.15,0
87207.0,387,59,143173.16,2
34895.0,46,31,55890.63,0
18568.0,60,39,112737.24,0
65098.0,1151,26,53050.19,1
14348.0,68,76,144877.64,2
96885.0,31,30,54898.56,0
46019.0,44,63,136701.11,2
65697.0,471,50,86768.09,0
69677.0,470,87,160351.96,2
47944.0,292,49,111260.67,0
17816.0,946,55,84383.35,1
86454.0,477,18,47379.09,0
23979.0,775,38,108087.64,1
99296.0,808,18,30619.3,1
40791.0,119,72,146762.8,2
81608.0,32,62,155925.04,2
12818.0,27,52,116183.45,0
20472.0,114,67,132134.47,2
28306.0,60,76,154247.98,2
74053.0,108,64,174820.26,2
67328.0,81,86,198802.05,2
85554.0,387,19,24677.07,0
82911.0,611,44,87743.78,1
66240.0,502,32,80002.15,0
24331.0,27,60,110597.62,2
15999.0,170,53,113875.07,0
64880.0,113,64,163699.74,2
12845.0,79,34,92111.46,0
86948.0,71,75,137842.66,2
3341.0,409,28,45929.61,0
14775.0,145,34,95674.52,0
70227.0,370,44,78900.9,0
78133.0,142,79,147628.54,2
61582.0,30,43,111369.56,0
28785.0,46,45,121747.54,0
50294.0,2,100,181723.41,2
73993.0,38,77,187104.89,2
4811.0,47,50,93126.25,0
62602.0,21,46,84776.62,0
64642.0,6,42,114693.42,0
